"model","pk","fields__question_research","fields__question_article","fields__question_text","fields__question_madeby","fields__question_id","fields__question_reftext","fields__question_pubdate","fields__question_deleted","fields__question_deletedate"
"question.annotquestion","37","1","1","Why are you curious about this?","7","annot1","cancer and taking high quantities of B vitamins","2018-06-15T05:12:40.734Z","False","2018-06-15T05:12:40.734Z"
"question.annotquestion","38","1","2","did the authors really showed causality, not correlation?","9","annot1","the authors conclude.","2018-06-15T05:12:46.978Z","False","2018-06-15T05:12:46.978Z"
"question.annotquestion","39","1","3","How long?","4","annot1","long period were","2018-06-15T05:12:51.687Z","False","2018-06-15T05:12:51.687Z"
"question.annotquestion","40","1","1","Why lung cancer?","7","annot2","vitamins, and lung cancer","2018-06-15T05:13:18.163Z","False","2018-06-15T05:13:18.163Z"
"question.annotquestion","41","1","1","Why only men?","7","annot3","focuses on men","2018-06-15T05:13:36.233Z","False","2018-06-15T05:13:36.233Z"
"question.annotquestion","42","1","1","What is the mechanism?","7","annot4","B6 or B12 significantly increased their risk of lung cancer","2018-06-15T05:13:58.045Z","False","2018-06-15T05:13:58.045Z"
"question.annotquestion","45","1","2","what's the criterion for determining high/low doses?","8","annot1","extraordinarily high doses","2018-06-15T05:14:50.165Z","False","2018-06-15T05:14:50.165Z"
"question.annotquestion","46","1","3","Why is it so high then?","4","annot2","B12 it is 1.5mcg (micrograms) a day for adults. \n\nBut","2018-06-15T05:14:51.293Z","False","2018-06-15T05:14:51.293Z"
"question.annotquestion","47","1","2","How are these high doses permitted in supplement bottles?","2","annot1","day. “But if you look at these supplement bottles, they’re being sold in pill form at up to 5,000 micrograms per dose, which is much, much higher than the daily recommended amount,” said","2018-06-15T05:15:20.068Z","False","2018-06-15T05:15:20.068Z"
"question.annotquestion","48","1","3","what does this mean? how do they compute the likelihood to develop lung cancer?","5","annot1","three times more likely to develop lung cancer","2018-06-15T05:15:25.389Z","False","2018-06-15T05:15:25.389Z"
"question.annotquestion","49","1","2","What is this?","8","annot2","RDA","2018-06-15T05:15:33.808Z","False","2018-06-15T05:15:33.808Z"
"question.annotquestion","50","1","2","What are the criteria for determining this?","8","annot3","extraordinarily high doses","2018-06-15T05:16:09.119Z","False","2018-06-15T05:16:09.119Z"
"question.annotquestion","51","1","3","what does this mean? how do they compute the likelihood to develop lung cancer?","5","annot1","three times more likely to develop lung cancer","2018-06-15T05:16:21.713Z","False","2018-06-15T05:16:21.713Z"
"question.annotquestion","52","1","1","why men only? including women would increase the size of data, but is there any reason to exclude them?","18","annot1","men","2018-06-15T05:16:23.658Z","False","2018-06-15T05:16:23.658Z"
"question.annotquestion","53","1","2","Why is this the recommended daily allowance - what is the reason that there is a limit to the recommended allowance?","2","annot2","The recommended daily allowance for vitamin B6 for men is only about one and a half milligrams, and for vitamin B12, it’s less than two and a half micrograms per","2018-06-15T05:16:35.620Z","False","2018-06-15T05:16:35.620Z"
"question.annotquestion","54","1","2","What is the gender of the participants?","3","annot1","Some 77,118 participants aged between 50 and 76 were asked to detail their diets and use of supplements over the previous ten years. Their","2018-06-15T05:16:39.015Z","True","2018-06-15T05:18:25.714Z"
